HW_TYPE,CB_VER,IMG_VERS,ITERATION,TOTAL_BOOT,FIRMWARE_TOTAL,KERNEL,USERSPACE,WAMP,NETWORKING,CONTROLPANEL,FWPNMANAGER,SYSTEMD_UDEV_SETTLE,DEVICE_UNIT,DMESG_ERROR
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",2,262, 15.893 ,4.111, 11.782 ,5.870,5.895,,,,1.166,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",3,263, 15.171 ,4.175, 10.995 ,6.219,5.890,,,,1.089,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",4,263, 16.204 ,4.148, 12.056 ,5.697,5.658,,,,1.100,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",5,263, 15.226 ,4.147, 11.079 ,6.430,5.844,,,,967m,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",6,262, 16.238 ,4.136, 12.101 ,5.917,5.628,,,,1.037,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",7,263, 14.957 ,4.100, 10.856 ,6.442,5.972,,,,1.105,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",8,262, 14.970 ,4.148, 10.821 ,6.402,5.868,,,,969m,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",9,263, 15.065 ,4.143, 10.922 ,6.348,5.911,,,,1.181,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",10,262, 14.959 ,4.147, 10.812 ,6.406,5.874,,,,1.093,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",11,262, 15.113 ,4.111, 11.002 ,6.313,5.905,,,,1.103,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",12,262, 15.077 ,4.130, 10.947 ,6.387,5.773,,,,1.222,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",13,263, 15.207 ,4.152, 11.054 ,6.238,5.848,,,,1.205,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",14,263, 15.729 ,4.100, 11.629 ,6.121,5.920,,,,1.054,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",15,263, 14.994 ,4.128, 10.865 ,6.450,5.995,,,,1.052,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",16,263, 15.172 ,4.179, 10.992 ,6.441,5.804,,,,1.127,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",17,262, 15.516 ,4.140, 11.375 ,5.857,5.811,,,,1.151,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",18,263, 14.882 ,4.123, 10.758 ,6.389,5.891,,,,1.079,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",19,262, 15.075 ,4.123, 10.951 ,6.094,5.886,,,,1.240,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",20,262, 14.661 ,4.142, 10.519 ,6.586,6.094,,,,1.086,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",21,262, 15.361 ,4.149, 11.212 ,6.002,5.860,,,,1.027,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",22,262, 16.293 ,4.123, 12.169 ,5.813,5.946,,,,1.063,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",23,263, 15.117 ,4.148, 10.969 ,6.198,6.022,,,,1.075,Error
MTP700_Unified_Basic,R02.05.00.00_01.01.01.02,BUILD_ID="HMI_ubp-3.4~F0612",24,263, 16.548 ,4.148, 12.399 ,5.866,5.737,,,,1.137,Error
